step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
169,0.73,40.8066,-0.5274,-8.1073,48.9139,111.7878,+104.1449,11324.3418,2800.4409
170,0.73,41.2427,-0.3913,-8.0655,49.3083,90.9124,+104.1426,11271.6006,2816.9822
171,0.74,41.0692,-0.6568,-8.0887,49.1580,99.4702,+103.8704,11264.2686,2804.5342
172,0.72,41.0429,-0.7939,-8.0927,49.1356,85.7058,+103.7594,11251.9121,2804.0366
173,0.72,41.1773,-1.1585,-8.0852,49.2625,92.9542,+103.0879,11117.3496,2806.8586
174,0.74,40.6116,-0.5935,-8.0886,48.7002,111.6235,+102.0028,10899.6768,2759.5366
175,0.73,41.1932,-0.3073,-8.0890,49.2822,114.7269,+103.4472,11211.4609,2813.2920
176,0.73,40.3115,-0.4092,-8.0891,48.4006,114.2117,+101.5293,10818.4844,2749.4109
177,0.73,40.0660,-0.7208,-8.1050,48.1710,173.3401,+100.9345,10752.8848,2731.8269
178,0.72,40.5139,-0.3239,-8.1036,48.6175,115.3759,+102.9075,11016.3438,2779.2158
179,0.73,39.7237,-0.4912,-8.1279,47.8516,110.2836,+102.3057,10918.9395,2726.5137
180,0.72,39.9326,-0.2365,-8.0944,48.0270,98.1815,+102.0334,10833.2588,2731.0864
181,0.73,40.4714,-0.1692,-8.0833,48.5548,109.2291,+102.0500,10905.4258,2784.1118
182,0.73,40.5338,-0.2950,-8.0769,48.6107,105.6910,+102.1866,10916.5078,2804.3047
183,0.72,40.2361,-0.3955,-8.0787,48.3148,134.9623,+102.0643,10955.2598,2790.2515
184,0.72,40.0240,-0.6130,-8.0576,48.0816,101.2574,+100.9101,10647.9746,2761.8469
185,0.72,40.4428,-0.5159,-8.0591,48.5019,95.8972,+101.4518,10759.1367,2798.5557
186,0.73,39.7779,-0.7603,-8.0569,47.8348,88.4148,+100.8150,10614.8086,2748.9409
187,0.72,39.8583,-0.3902,-8.0748,47.9330,137.4545,+100.3559,10550.6602,2737.8525
188,0.73,39.5770,-0.0856,-8.0760,47.6530,112.3269,+100.9238,10659.9248,2723.3870
189,0.72,39.4352,-0.4498,-8.0638,47.4989,100.2650,+99.9296,10458.4707,2706.8716
190,0.72,39.5536,-0.0164,-8.0713,47.6248,127.3929,+99.2085,10384.2539,2715.2876
191,0.73,39.5241,-0.4074,-8.0781,47.6021,117.5408,+100.8144,10639.5293,2718.3091
192,0.72,39.6491,+0.0774,-8.0523,47.7014,86.1187,+100.2111,10491.0947,2728.2915
193,0.72,39.5674,-0.1192,-8.0496,47.6171,114.9822,+100.2012,10535.9199,2740.2129
194,0.72,39.6092,-0.9888,-8.0609,47.6701,120.5360,+100.8981,10666.6309,2737.0776
195,0.73,38.8509,-0.8683,-8.0807,46.9316,120.1677,+100.3950,10571.9248,2699.9751
196,0.71,39.2915,-0.7637,-8.0863,47.3778,108.9738,+100.5349,10603.0869,2724.9202
197,0.73,39.8232,+0.5542,-8.0837,47.9069,115.6497,+100.4128,10579.1641,2754.9336
198,0.72,39.2540,+0.0996,-8.0672,47.3212,157.1379,+99.7289,10546.8828,2714.2769
199,0.72,38.9486,-0.4771,-8.0725,47.0212,121.7826,+98.9166,10344.7725,2688.2100
200,0.71,39.0513,-0.3631,-8.0681,47.1194,117.0326,+98.4971,10241.2695,2679.4487
201,0.70,39.8501,-0.3284,-8.0614,47.9115,149.8660,+99.8314,10588.9561,2753.8674
202,0.71,39.3927,-0.9097,-8.0566,47.4493,153.7134,+99.6092,10480.9209,2733.7502
203,0.70,39.5976,-0.8419,-8.0237,47.6212,143.4377,+99.4782,10498.4834,2732.1152
204,0.69,39.2730,-0.5346,-8.0390,47.3120,130.9244,+99.4503,10479.9062,2731.9634
205,0.69,38.9674,-0.2297,-8.0660,47.0334,117.5117,+100.0494,10550.4307,2711.9971
206,0.70,39.7952,-0.4669,-8.0733,47.8685,272.4191,+100.2116,10723.1816,2776.6921
207,0.69,39.3438,+0.0636,-8.0767,47.4205,144.3859,+100.3395,10662.1953,2740.6470
208,0.69,38.5729,-0.2253,-8.0801,46.6530,122.7399,+99.0979,10392.2002,2685.5276
209,0.70,38.9654,-0.4358,-8.0840,47.0494,120.9506,+99.7027,10485.8320,2717.0039
210,0.69,38.6706,+0.0338,-8.0949,46.7656,131.1309,+99.7145,10518.6406,2709.5471
211,0.70,38.6784,-0.0256,-8.0959,46.7743,131.2369,+99.3152,10493.9746,2695.0327
212,0.70,39.2603,-0.4263,-8.0883,47.3486,145.4330,+100.3109,10744.8828,2733.8525
213,0.69,38.5513,+0.2351,-8.0637,46.6150,126.0168,+99.7900,10522.4600,2692.6406
214,0.69,37.7439,+0.3154,-8.0937,45.8376,215.9111,+97.9539,10213.3984,2631.5789
215,0.70,38.5791,+0.0762,-8.0976,46.6767,133.0052,+98.9230,10406.8086,2680.9065
216,0.70,38.0934,-0.0638,-8.0611,46.1544,130.2234,+97.4543,10114.1719,2649.8943
217,0.68,38.5625,+0.2136,-8.0614,46.6239,116.3694,+97.6644,10113.2793,2673.4197
218,0.69,37.6566,-0.1463,-8.0482,45.7048,117.6329,+96.6897,9876.8691,2616.6292
219,0.68,37.2650,-0.4447,-8.0431,45.3082,109.7775,+95.4512,9617.8701,2571.0632
220,0.69,38.0786,+0.4562,-8.0372,46.1158,123.5066,+95.6210,9779.5117,2614.9949
221,0.67,37.9671,+0.9275,-8.0393,46.0064,111.7827,+94.6347,9462.1777,2591.5869
222,0.68,37.5721,+0.0584,-8.0375,45.6096,150.0505,+94.9762,9615.1553,2561.9731
223,0.69,37.8337,+0.4824,-8.0664,45.9001,129.0571,+94.8065,9556.4180,2587.0483
224,0.68,37.3863,+0.0173,-8.0547,45.4409,150.9021,+94.0100,9431.4453,2561.0215
225,0.69,37.5031,+0.4920,-8.0571,45.5602,139.1709,+93.9142,9418.3223,2579.1230
226,0.69,36.3943,-0.0844,-8.0570,44.4513,117.3867,+93.6072,9268.3691,2507.5610
227,0.68,36.3710,-0.1516,-8.0392,44.4102,103.9453,+92.6209,9051.8262,2487.7388
228,0.68,36.5459,+0.2748,-8.0274,44.5733,108.4233,+92.1360,8976.1797,2477.4956
229,0.69,36.4901,+0.3678,-8.0497,44.5398,138.1987,+92.1777,9090.4453,2505.5046
230,0.68,36.2890,+0.3262,-8.0435,44.3324,128.2729,+91.4744,8929.6465,2477.0500
231,0.69,35.7838,+0.6278,-8.0575,43.8412,128.8849,+91.2664,8865.7402,2448.5542
232,0.70,35.7313,+0.8314,-8.0483,43.7796,99.0295,+90.3655,8660.9941,2444.1392
233,0.68,35.6847,+0.0245,-8.0378,43.7225,121.5614,+91.4718,8889.7051,2431.5559
234,0.68,35.7896,-0.0349,-8.0136,43.8033,126.9940,+90.9852,8827.0508,2442.0122
235,0.69,35.5502,-0.2981,-8.0393,43.5896,137.0563,+90.2748,8723.9629,2409.1233
236,0.67,35.8226,-0.2165,-8.0479,43.8705,105.3077,+90.4618,8707.1543,2407.2363
237,0.68,35.5261,-0.1164,-8.0232,43.5493,105.0336,+90.2984,8616.6738,2392.3945
238,0.68,35.6820,+0.5826,-8.0367,43.7188,132.2906,+90.9249,8830.2988,2396.4712
239,0.68,35.4277,-0.4921,-8.0219,43.4496,115.9421,+91.1313,8815.9160,2395.3953
240,0.69,36.0307,+0.2497,-8.0308,44.0615,115.7081,+90.6719,8804.6973,2427.9062
241,0.67,35.7821,+0.1676,-8.0060,43.7881,140.2334,+90.2776,8738.7930,2416.0508
242,0.68,35.5843,+0.0292,-8.0002,43.5845,123.2352,+88.7798,8421.1221,2390.9705
243,0.68,35.7773,+0.4792,-8.0155,43.7927,147.7017,+89.8736,8660.1660,2405.6631
244,0.67,35.9821,+0.6585,-8.0529,44.0350,131.1732,+89.6151,8636.0713,2410.1411
245,0.67,35.4764,+0.1462,-8.0618,43.5383,131.6902,+88.7512,8418.9639,2381.9653
246,0.68,35.2810,+0.3941,-8.0406,43.3217,118.0724,+90.1127,8628.6289,2369.4487
247,0.68,35.0589,+0.4052,-8.0615,43.1204,125.2125,+89.7719,8579.9492,2375.7361
248,0.68,34.9635,+0.7174,-8.0511,43.0146,131.7145,+89.0965,8451.5459,2369.6650
249,0.68,35.1791,+0.1320,-8.0579,43.2369,135.9169,+89.7287,8606.5645,2390.5410
250,0.68,35.4246,-0.2313,-8.0558,43.4804,153.2378,+90.6290,8769.8164,2397.5227
251,0.68,35.0674,+0.2990,-8.0373,43.1047,143.4188,+90.0994,8677.3789,2374.4719
252,0.68,35.1298,+0.0449,-8.0617,43.1916,136.8539,+88.1489,8315.1211,2391.2964
253,0.67,35.1785,+0.1695,-8.0742,43.2528,154.6624,+88.5178,8442.6885,2399.7571
254,0.68,35.2150,-0.0346,-8.0201,43.2351,124.1591,+88.5710,8397.8848,2392.8503
255,0.69,34.5718,-0.1867,-8.0508,42.6226,125.8868,+88.3979,8420.2500,2354.2024
256,0.66,34.1428,+0.0946,-8.0471,42.1899,114.2213,+88.5230,8360.8486,2334.9395
257,0.66,34.5045,-0.2864,-8.0257,42.5302,164.0713,+89.3598,8573.7207,2369.4883
258,0.67,33.8735,-0.6410,-8.0288,41.9023,135.4648,+88.4213,8379.1055,2309.3877
259,0.67,34.5677,-1.0690,-8.0181,42.5859,201.6777,+86.9968,8212.0459,2356.5500
260,0.68,33.9041,-0.5525,-8.0264,41.9305,119.8770,+86.2229,7949.3091,2295.2461
261,0.67,33.7975,-0.4229,-8.0113,41.8088,125.9894,+87.6480,8233.1133,2321.5542
262,0.68,33.6606,+0.0917,-8.0201,41.6807,168.4207,+86.2228,8074.4136,2294.9204
263,0.68,33.8595,+0.3495,-8.0017,41.8612,133.4717,+87.6781,8294.5859,2322.5471
264,0.68,33.9391,+0.2300,-8.0284,41.9675,153.3046,+87.2383,8262.9082,2324.3887
265,0.68,33.9452,-0.3524,-8.0603,42.0055,136.5508,+87.0558,8154.1265,2322.4868
266,0.68,33.6651,-0.2320,-8.0536,41.7187,123.0399,+86.9627,8147.4380,2289.1938
267,0.67,34.1162,-0.1026,-8.0217,42.1379,135.0077,+86.4166,8099.5879,2324.9680
268,0.67,33.0921,-0.6071,-8.0211,41.1133,133.8175,+85.1001,7821.8262,2254.2427
269,0.67,33.7047,-0.4145,-8.0144,41.7191,137.3218,+85.3974,7927.6943,2299.1416
